epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1292.46,1.43269,5.53767,0.35275,1.09508,1.95675,0.99779,0.91304,0.94546,0.45447,0.45472,0.42029,0.27401,0.06392,1.63496,5.20739,0.2201,0.85502,2.3108,0.000554393,0.000554393,0.000554393
95,1305.61,1.42023,5.32212,0.35528,1.10281,1.94614,0.95223,0.89855,0.94559,0.52432,0.44239,0.42548,0.27685,0.05297,1.44588,5.24889,0.22346,0.78842,2.10943,0.000551503,0.000551503,0.000551503
96,1318.81,1.44663,5.40373,0.34278,1.18406,1.99799,0.9262,0.94203,0.94342,0.47592,0.45607,0.40106,0.25516,0.04449,1.57196,5.36717,0.27005,0.85365,2.27178,0.000548592,0.000548592,0.000548592
97,1332.59,1.44463,5.36093,0.33734,1.10107,1.93826,0.9827,0.86957,0.93129,0.47315,0.50918,0.44928,0.27362,0.0517,1.56559,5.26007,0.22463,0.88928,2.26657,0.000545662,0.000545662,0.000545662
98,1346.61,1.41587,5.3077,0.34065,1.11963,1.9402,0.96861,0.89433,0.94221,0.49451,0.51142,0.43478,0.27211,0.04826,1.5798,5.2229,0.21615,0.88446,2.28753,0.000542713,0.000542713,0.000542713
99,1360.12,1.37487,5.2755,0.34579,1.10857,1.88199,0.97688,0.89855,0.92357,0.41574,0.41315,0.4058,0.20472,0.0444,1.79814,5.26749,0.22268,0.92543,2.59674,0.000539744,0.000539744,0.000539744
100,1373.83,1.39938,5.20207,0.34296,1.10211,1.90197,0.94125,0.92882,0.9497,0.47869,0.42419,0.43478,0.23036,0.03966,1.63231,5.19374,0.21326,0.85257,2.33205,0.000536756,0.000536756,0.000536756
101,1387.26,1.37223,5.34021,0.34482,1.15715,1.92135,0.94113,0.95652,0.95564,0.51775,0.44189,0.37681,0.27609,0.03984,1.48663,5.28253,0.20489,0.85509,2.14952,0.00053375,0.00053375,0.00053375
102,1401.16,1.35334,5.27857,0.34919,1.07033,1.90044,0.98075,0.92754,0.95631,0.49823,0.46871,0.44928,0.31649,0.05886,1.60773,5.13873,0.1855,0.81017,2.28911,0.000530725,0.000530725,0.000530725
103,1414.43,1.36506,5.38678,0.33424,1.09409,1.89975,0.95327,0.91304,0.95818,0.49191,0.46665,0.44928,0.29436,0.0739,1.58533,5.08821,0.22294,0.77018,2.26238,0.000527683,0.000527683,0.000527683
104,1427.91,1.38512,5.15603,0.34098,1.09988,1.89701,0.98405,0.89398,0.9485,0.5018,0.49324,0.47826,0.35684,0.08084,1.52452,5.07438,0.27353,0.78302,2.18861,0.000524623,0.000524623,0.000524623
105,1441.33,1.40445,5.30097,0.36466,1.12659,1.98018,0.94004,0.90886,0.94249,0.50155,0.50407,0.4058,0.2883,0.0583,1.508,5.25288,0.24384,0.76287,2.16887,0.000521546,0.000521546,0.000521546
106,1455.04,1.37394,5.0838,0.34131,1.02836,1.91742,0.98455,0.92363,0.9565,0.53424,0.53749,0.50529,0.37824,0.07944,1.43292,5.12092,0.2002,0.71525,2.12578,0.000518452,0.000518452,0.000518452
107,1468.27,1.34044,5.23367,0.36043,1.06944,1.89176,0.99839,0.92754,0.9474,0.51766,0.50672,0.43478,0.33375,0.06604,1.50455,5.15014,0.19627,0.75049,2.1807,0.000515341,0.000515341,0.000515341
108,1481.29,1.36227,5.27313,0.34425,1.08071,1.86067,0.99676,0.92754,0.94386,0.50138,0.49292,0.40859,0.31051,0.06157,1.56273,5.25794,0.2435,0.72277,2.25191,0.000512214,0.000512214,0.000512214
109,1494.34,1.37123,5.11912,0.34201,1.04572,1.89153,0.99607,0.91304,0.95729,0.53606,0.5917,0.49275,0.41968,0.07504,1.49454,5.14005,0.23775,0.65849,2.17038,0.000509072,0.000509072,0.000509072
110,1507.6,1.41971,5.32492,0.34491,1.10118,1.954,0.99591,0.92754,0.95493,0.47958,0.49838,0.46377,0.29214,0.0603,1.6975,5.04648,0.21833,0.68466,2.38126,0.000505913,0.000505913,0.000505913
111,1520.58,1.34281,5.31376,0.35938,1.04739,1.86623,0.98283,0.94203,0.95382,0.54065,0.48774,0.46377,0.29467,0.0579,1.50459,5.11397,0.19903,0.64919,2.15381,0.00050274,0.00050274,0.00050274
112,1536.27,1.36156,5.25569,0.35552,1.09999,1.93103,0.91098,0.92754,0.95277,0.54183,0.42756,0.43478,0.27267,0.04836,1.44872,5.17636,0.19424,0.70943,2.08126,0.000499552,0.000499552,0.000499552
113,1549.1,1.34624,5.2932,0.35399,1.04651,1.905,0.95378,0.92754,0.96371,0.51167,0.41361,0.42029,0.25096,0.04774,1.61311,5.14463,0.22986,0.77944,2.24401,0.000496349,0.000496349,0.000496349
114,1562.21,1.34053,5.15978,0.32936,1.04208,1.86026,0.93912,0.92754,0.94157,0.5285,0.4851,0.44928,0.31344,0.06044,1.52323,5.14794,0.22752,0.78324,2.16332,0.000493132,0.000493132,0.000493132
